,dates,vp_mean,rh_mean,temp_mean,precip_total,NDVI,Week_Number,Year,Total Eggs,Sensor Counts,Total Mean Eggs,year,month,iso_week,Nino34_SST,Nino34_SSTA,SST,SSTA,precip_total_mm
387,1998-12-09,17.001968431587677,68.98979882796885,21.43046181347904,0.0244643146967388,,50,1998,,,,1998,12,50,24.8,-1.8,24.8,-1.8,24.4643146967388
388,1998-12-16,19.22569339037923,67.47411819114555,23.542833452808622,0.0131371897470507,,51,1998,,,,1998,12,51,24.8,-1.8,24.8,-1.8,13.1371897470507
389,1998-12-23,18.4369772542966,69.52887274594305,22.123358675898373,0.0195278841710221,,52,1998,,,,1998,12,52,24.6,-2.0,24.6,-2.0,19.5278841710221
390,1998-12-30,15.920496161816326,51.00129784559111,25.37987608617664,0.0010114841647107,,53,1998,,,,1998,12,53,24.6,-2.0,24.6,-2.0,1.0114841647107
391,1999-01-06,19.95084263775893,72.26692092993859,23.13177297682995,0.0586746565701753,,1,1999,,,,1999,1,1,24.6,-1.9,24.6,-1.9,58.6746565701753
392,1999-01-13,18.1662446011873,83.83295591597768,18.876408604213168,0.0495087766979541,,2,1999,,,,1999,1,2,24.8,-1.6,24.8,-1.6,49.508776697954104
393,1999-01-20,19.795155891721333,78.20299127773848,21.540175114845795,0.05715270233966,,3,1999,,,,1999,1,3,25.0,-1.5,25.0,-1.5,57.15270233966
394,1999-01-27,21.61743063806643,82.10467657843387,22.03716740770409,0.0441447354730501,,4,1999,,,,1999,1,4,25.1,-1.4,25.1,-1.4,44.1447354730501
395,1999-02-03,22.091460915900697,82.6436023198755,22.28687915153245,0.0691394396941161,,5,1999,,,,1999,2,5,25.4,-1.1,25.4,-1.1,69.13943969411609
396,1999-02-10,22.33606228507664,83.44023207309384,22.19948281528184,0.0512231166445157,,6,1999,,,,1999,2,6,25.1,-1.5,25.1,-1.5,51.2231166445157
397,1999-02-17,20.989926393814347,80.1618125395869,21.94255479306588,0.0396053530766395,,7,1999,,,,1999,2,7,25.6,-1.1,25.6,-1.1,39.6053530766395
398,1999-02-24,22.95056561444961,83.38107909789616,22.828696044610467,0.0579430456738236,,8,1999,,,,1999,2,8,25.9,-0.9,25.9,-0.9,57.9430456738236
399,1999-03-03,23.0089647928214,81.18745857221758,23.32570281774821,0.0444632966210924,,9,1999,,,,1999,3,9,26.0,-0.9,26.0,-0.9,44.4632966210924
400,1999-03-10,23.34900453166518,86.16442304979446,22.51371083421776,0.0737153421550763,,10,1999,,,,1999,3,10,26.1,-1.0,26.1,-1.0,73.7153421550763
401,1999-03-17,20.22348456362148,83.63457548306216,20.57733213463609,0.0107567191705289,,11,1999,,,,1999,3,11,26.4,-0.8,26.4,-0.8,10.7567191705289
402,1999-03-24,21.81301923100146,91.89963331898252,20.28732723573438,0.083374069785082,,12,1999,,,,1999,3,12,26.4,-0.9,26.4,-0.9,83.374069785082
403,1999-03-31,22.665908851233247,88.46444926827562,21.40100103624826,0.0525477579164511,,13,1999,,,,1999,3,13,26.3,-1.2,26.3,-1.2,52.547757916451104
404,1999-04-07,16.39816825403808,89.21374870295274,16.224658895998573,0.0230825180090375,,14,1999,,,,1999,4,14,26.5,-1.1,26.5,-1.1,23.0825180090375
405,1999-04-14,16.527392244257804,89.11769855494826,16.335337406599592,0.0223924053911786,,15,1999,,,,1999,4,15,26.8,-0.9,26.8,-0.9,22.3924053911786
406,1999-04-21,11.793782493403326,75.55912270712635,13.367999311693724,0.005585447379214,,16,1999,,,,1999,4,16,26.9,-0.9,26.9,-0.9,5.585447379214
407,1999-04-28,18.20779660876073,83.39092670936367,18.80242901237642,0.0094737130239782,,17,1999,,,,1999,4,17,27.0,-0.9,27.0,-0.9,9.473713023978199
408,1999-05-05,17.93748224972185,86.53628526158114,18.02219101004056,0.0156274494640017,,18,1999,,,,1999,5,18,27.1,-0.8,27.1,-0.8,15.6274494640017
409,1999-05-12,16.486930855861203,87.29658762683123,16.709061078960417,0.033803669508042,,19,1999,,,,1999,5,19,27.0,-0.9,27.0,-0.9,33.803669508042
410,1999-05-19,16.261640295719857,92.06229609650516,15.556720611676042,0.0300404337898838,,20,1999,,,,1999,5,20,26.8,-1.0,26.8,-1.0,30.0404337898838
411,1999-05-26,12.648111870927597,92.07989306794632,11.62272714887348,0.0274570855027929,,21,1999,,,,1999,5,21,26.8,-1.0,26.8,-1.0,27.4570855027929
412,1999-06-02,12.343450497785264,81.6968629132777,13.256207973454307,0.0046820927429444,,22,1999,,,,1999,6,22,26.7,-1.1,26.7,-1.1,4.6820927429444
413,1999-06-09,11.315868900518582,86.2633853969782,11.059827656648622,0.0096874439286967,,23,1999,,,,1999,6,23,26.6,-1.1,26.6,-1.1,9.6874439286967
414,1999-06-16,10.27726584255812,75.33469632503234,11.643583162787875,0.0015087419469028,,24,1999,,,,1999,6,24,26.6,-1.0,26.6,-1.0,1.5087419469028
415,1999-06-23,13.90599127862485,88.17052845881894,13.867638680075288,0.0129622611397053,,25,1999,,,,1999,6,25,26.5,-1.1,26.5,-1.1,12.9622611397053
416,1999-06-30,15.813850967651108,90.74394295191124,15.374159918026066,0.0283439565718935,,26,1999,,,,1999,6,26,26.5,-0.9,26.5,-0.9,28.3439565718935
417,1999-07-07,9.275271945756671,79.3180404903403,9.362855425983868,0.012197072965471,,27,1999,,,,1999,7,27,26.6,-0.8,26.6,-0.8,12.197072965471
418,1999-07-14,12.010893475428835,78.4000744328181,13.180867702458215,0.0068703807780821,,28,1999,,,,1999,7,28,26.3,-1.0,26.3,-1.0,6.8703807780821
419,1999-07-21,9.015725289269708,84.07836659899176,7.979297515972973,0.012250888104937,,29,1999,,,,1999,7,29,26.1,-1.1,26.1,-1.1,12.250888104937
420,1999-07-28,11.110381479252217,75.54078652325109,12.875407518659358,0.0002834396700401,,30,1999,,,,1999,7,30,25.8,-1.3,25.8,-1.3,0.28343967004009996
